Model,RMSE,MAE,R2,AIC,BIC
GLR,8073.627889371879,5490.1998494749405,0.9450951313138644,9926.08442936886,13304.158443769913
Linear,8073.627889371879,5490.1998494749405,0.9450951313138644,9926.08442936886,13304.158443769913
RandomForest,11346.83519543559,8410.122271563514,0.8915516638601487,10194.949817061977,13573.02383146303
Polynomial,26520.356545632676,21883.637172877705,0.40757672025845915,9173.639073237446,9185.57573053215
